date,самочувствие_MOW_2010_2015,хорошее_MOW_2010_2015,болезнь_MOW_2010_2015,состояние_MOW_2010_2015,работоспособность_MOW_2010_2015,плохое_MOW_2010_2015,организм_MOW_2010_2015,болезни_MOW_2010_2015,организма_MOW_2010_2015,жизнь_MOW_2010_2015,лекарство_MOW_2010_2015,больного_MOW_2010_2015,болезней_MOW_2010_2015,влияет_MOW_2010_2015,выздоровления_MOW_2010_2015,жизни_MOW_2010_2015,питании_MOW_2010_2015,врача_MOW_2010_2015,пищеварение_MOW_2010_2015,врачи_MOW_2010_2015,организме_MOW_2010_2015,главное_MOW_2010_2015,зависит_MOW_2010_2015,лекарства_MOW_2010_2015,больных_MOW_2010_2015,пациента_MOW_2010_2015,лечить_MOW_2010_2015,болезнью_MOW_2010_2015,лечение_MOW_2010_2015,нуждается_MOW_2010_2015,врач_MOW_2010_2015,улучшить_MOW_2010_2015,расстройство_MOW_2010_2015,пациентов_MOW_2010_2015
2019-05-01,55,35,74,48,60,64,80,73,71,61,52,63,73,71,28,74,64,42,43,77,68,76,58,69,23,41,76,62,55,54,78,75,59,58
2019-06-01,65,36,80,53,60,64,66,64,67,66,53,55,80,63,29,65,54,40,41,78,56,74,37,72,24,33,75,66,54,43,79,69,60,50
2019-07-01,58,38,69,39,43,65,60,56,58,55,55,46,63,58,21,54,49,42,36,88,55,70,26,74,22,30,75,54,58,38,82,75,62,51
2019-08-01,64,38,68,39,49,67,59,53,61,50,59,45,60,55,18,58,48,46,28,84,62,64,27,77,23,21,82,50,63,37,87,67,56,39
2019-09-01,94,36,76,100,61,67,76,66,78,51,56,61,75,67,34,85,62,54,33,76,70,85,52,76,24,39,71,55,54,61,79,65,67,55
2019-10-01,60,31,79,72,60,70,77,65,75,47,53,58,86,82,34,84,69,63,35,87,74,99,58,82,26,48,71,98,47,64,80,67,71,56
2019-11-01,64,37,76,59,73,73,79,66,79,46,55,57,76,82,37,83,68,56,44,83,71,86,60,77,25,43,72,56,52,91,84,71,71,59
2019-12-01,58,42,78,59,72,74,86,67,80,47,55,65,69,78,20,80,63,58,43,84,74,88,70,80,24,42,73,70,52,59,81,67,72,58
2020-01-01,55,41,96,51,52,71,83,67,86,50,62,61,67,75,43,83,66,65,84,85,68,81,57,84,26,31,82,90,55,51,92,75,79,53
2020-02-01,73,40,83,53,59,68,79,68,81,49,63,66,75,76,46,82,64,65,79,100,82,85,55,88,33,44,80,78,57,40,90,73,72,75
2020-03-01,75,42,87,60,75,79,74,76,78,49,80,79,100,78,56,84,63,87,55,96,81,83,67,100,84,46,76,94,51,37,95,69,69,75
2020-04-01,100,39,84,75,72,71,95,69,87,57,66,100,84,88,58,96,81,94,60,93,83,93,90,100,100,55,75,100,46,100,89,94,81,100
2020-05-01,89,35,78,64,72,83,82,72,75,53,64,89,69,75,68,83,82,77,41,92,79,87,60,81,56,54,75,64,48,53,93,92,70,93
2020-06-01,67,36,78,50,57,74,65,70,66,47,54,65,70,75,51,62,65,54,32,88,67,83,44,69,38,49,77,59,47,58,88,88,66,73
2020-07-01,62,35,70,44,50,78,64,59,62,46,55,64,70,65,36,56,65,51,28,97,66,76,32,72,29,31,75,44,51,54,96,77,86,63
2020-08-01,62,36,69,67,46,67,58,58,63,47,57,57,69,59,20,54,56,61,24,100,59,74,30,78,28,30,81,56,51,56,96,80,86,55
2020-09-01,60,37,73,73,56,74,80,63,79,49,59,62,79,77,61,85,51,76,31,92,83,90,60,71,28,45,70,77,44,64,92,82,88,70
2020-10-01,66,36,75,61,100,67,82,68,81,50,61,77,81,92,67,90,69,100,42,95,86,93,76,88,34,59,84,70,48,60,100,79,85,88
2020-11-01,69,38,89,66,78,78,89,70,100,46,63,90,68,100,92,95,64,98,49,89,100,100,98,92,32,64,81,96,50,73,98,78,100,86
2020-12-01,74,100,81,67,80,71,100,64,85,49,61,91,68,98,100,95,60,93,57,89,92,99,100,81,34,57,88,82,49,56,90,79,87,71
