interview__key;Date;hh_02;settlement;members;memnal;Weight;fdpurch;fdcons;fdout;Z1;nfdpurch;nonfdgif;durble;expend;monincome;totincome;nonmoninc;y1_3amd.1.00;y1_3amd.2.00;y1_3amd.3.00;y1_3amd.4.00;y1_3amd.6.00;y1_3amd.8.00;y1_3amd.9.00;y1_3amd.10.00;y1_3amd.13.00;y1_3amd.14.00;y1_3amd.15.00;y1_3amd.17.00;y1_3amd.18.00;y1_3amd.19.00;y1_3amd.23.00;y1_3amd.28.00;hhch_0_3_sum;hhch_4_5_sum;hhch_6_11_sum;hhch_12_17_sum;hheld_63_65_sum;hheld_66_70_sum;hheld_71_80_sum;hheld_over81_sum;hheld_over63_sum;headsex;headeduc;headmerstatus;headage;aec_r;poverty;pweight;ae_r;hous_01;hous_13;hous_16;hous_29_0__1;hous_29_0__2;hous_29_0__3;hous_29_0__4;hous_29_0__5;hous_29_0__6;hous_29_0__7;hous_39;hous_44;soc_01;soc_05;hous_47
53-49-23-79;2021,03;11,00;2,00;3,00;3,00;99,80;39280,95;3490,18;0,00;2210,19;23210,71;4366,67;0,00;72558,70;32833,33;40690,18;7856,84;#ПУСТО!;#ПУСТО!;833,33;#ПУСТО!;32000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;3,00;4,00;34,00;50447,47;1,00;299,39;2,06;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;3,00;4,00;1,00;5,00;#ПУСТО!
53-52-19-30;2021,09;5,00;2,00;3,00;3,00;156,84;57683,04;17671,00;0,00;3543,84;30000,00;57466,67;0,00;166364,55;120000,00;195137,67;75137,67;#ПУСТО!;#ПУСТО!;120000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;51,00;67671,29;1,00;470,53;2,60;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;#ПУСТО!;#ПУСТО!
53-57-70-83;2021,10;2,00;2,00;1,00;1,00;39,33;46811,25;10097,77;0,00;1353,18;8060,42;18200,00;0,00;84522,62;196131,00;224428,77;28297,77;#ПУСТО!;#ПУСТО!;0,00;45000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;151131,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;1,00;2,00;6,00;3,00;68,00;140283,11;1,00;39,33;0,75;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;1,00;2,00;#ПУСТО!;1,00
53-60-03-52;2021,11;6,00;2,00;6,00;6,00;146,67;66655,95;49248,10;0,00;3401,08;48197,62;34625,00;0,00;202127,75;164000,00;247873,10;83873,10;104000,00;#ПУСТО!;18000,00;#ПУСТО!;42000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;2,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;38,00;62672,22;1,00;880,00;3,77;1,00;2,00;#ПУСТО!;0,00;0,00;0,00;0,00;0,00;1,00;0,00;3,00;3,00;1,00;8,00;1,00
53-65-03-92;2021,02;2,00;2,00;3,00;3,00;194,25;46863,39;234,13;3910,71;1048,14;24963,39;42966,67;0,00;119986,44;290000,00;333200,80;43200,80;190000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;100000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;37,00;70765,69;1,00;582,74;2,33;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;#ПУСТО!;#ПУСТО!
53-65-91-01;2021,04;11,00;1,00;5,00;5,00;138,21;96898,81;15509,38;8690,48;3780,37;85566,67;47847,62;0,00;258293,32;208500,00;271857,00;63357,00;150000,00;#ПУСТО!;0,00;#ПУСТО!;28500,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;30000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;2,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;5,00;1,00;32,00;78627,76;1,00;691,06;3,30;2,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;5,00;4,00;1,00;2,00;2,00
53-66-51-07;2021,01;3,00;2,00;2,00;2,00;222,14;25484,82;13235,61;0,00;1156,62;9349,70;43147,92;0,00;92374,67;77300,00;133683,53;56383,53;#ПУСТО!;#ПУСТО!;0,00;77300,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;2,00;2,00;1,00;5,00;1,00;86,00;65354,03;1,00;444,28;1,83;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;2,00;3,00;2,00;#ПУСТО!;1,00
53-66-93-21;2021,10;1,00;1,00;5,00;5,00;173,95;132616,67;0,00;130357,14;2027,73;81287,02;135033,33;25000,00;506321,89;562900,00;697933,33;135033,33;408000,00;100000,00;0,00;50000,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;4900,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;1,00;2,00;5,00;3,00;69,00;77877,41;1,00;869,77;4,06;2,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;2,00
53-70-36-65;2021,04;2,00;2,00;5,00;5,00;326,39;77779,76;5375,30;0,00;1631,72;68397,02;32833,33;0,00;186017,14;77916,67;116125,30;38208,63;#ПУСТО!;#ПУСТО!;77916,67;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;2,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;3,00;1,00;39,00;64716,93;1,00;1631,95;3,56;1,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;#ПУСТО!;1,00
53-73-41-35;2021,03;3,00;1,00;4,00;4,00;91,06;70327,68;0,00;6517,86;1764,88;15169,64;40300,00;0,00;134080,06;266500,00;306800,00;40300,00;240000,00;#ПУСТО!;0,00;26500,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;6,00;1,00;32,00;49982,60;1,00;364,26;3,08;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;3,00;2,00;#ПУСТО!;1,00
53-74-30-27;2021,11;1,00;1,00;4,00;4,00;164,70;86948,21;0,00;0,00;2987,92;69418,75;40966,67;56666,67;256988,22;305000,00;345966,67;40966,67;305000,00;#ПУСТО!;0,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;#ПУСТО!;1,00;5,00;1,00;45,00;52015,62;1,00;658,81;3,34;2,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;2,00;2,00;#ПУСТО!;#ПУСТО!
