date,самочувствие_MOW_2010_2015,болезнь_MOW_2010_2015,состояние_MOW_2010_2015,работоспособность_MOW_2010_2015,плохое_MOW_2010_2015,организм_MOW_2010_2015,болезни_MOW_2010_2015,организма_MOW_2010_2015,жизнь_MOW_2010_2015,лекарство_MOW_2010_2015,больного_MOW_2010_2015,болезней_MOW_2010_2015,выздоровления_MOW_2010_2015,жизни_MOW_2010_2015,питании_MOW_2010_2015,врача_MOW_2010_2015,пищеварение_MOW_2010_2015,врачи_MOW_2010_2015,организме_MOW_2010_2015,зависит_MOW_2010_2015,лекарства_MOW_2010_2015,больных_MOW_2010_2015,пациента_MOW_2010_2015,лечить_MOW_2010_2015,болезнью_MOW_2010_2015,лечение_MOW_2010_2015,нуждается_MOW_2010_2015,врач_MOW_2010_2015,расстройство_MOW_2010_2015,пациентов_MOW_2010_2015
2018-01-01,51,78,58,67,67,85,69,84,67,68,61,72,36,99,91,53,64,75,70,55,85,25,27,88,44,59,30,83,59,49
2018-02-01,52,72,58,68,74,83,70,78,57,71,66,85,33,92,88,62,100,84,72,58,86,26,39,90,72,58,44,77,52,46
2018-03-01,55,68,60,68,71,73,73,75,55,66,60,74,48,88,87,69,53,78,68,60,83,22,33,74,55,50,86,71,47,38
2018-04-01,47,75,53,61,63,73,72,76,52,62,59,80,31,87,89,55,55,75,74,63,76,22,34,72,66,46,73,73,48,41
2018-05-01,32,71,52,62,63,74,72,73,46,53,59,74,13,88,95,41,56,63,64,62,76,23,35,72,63,48,65,71,51,40
2018-06-01,44,68,45,48,66,61,63,60,45,53,50,80,28,73,74,41,45,78,55,39,65,22,37,69,44,46,64,73,54,37
2018-07-01,61,61,46,42,62,60,60,59,48,61,47,66,19,57,50,42,25,73,52,25,68,21,27,74,62,45,49,76,49,36
2018-08-01,44,67,43,51,60,62,53,61,46,58,42,60,27,61,59,47,35,74,50,27,77,23,28,82,62,50,59,77,54,35
2018-09-01,40,68,53,67,62,75,66,75,48,58,61,73,31,88,56,54,24,74,72,53,77,21,33,73,87,46,39,79,55,42
2018-10-01,48,69,55,60,70,71,66,75,51,55,58,81,33,89,84,59,44,77,69,66,74,24,40,75,85,51,55,80,52,44
